"Autor.innen";"Datum";"Titel";"Weitere.Beitragende"
"David Buschhüter";2020;"„Das Rasch-Modell berücksichtigt im Gegensatz zur klassischen Testtheorie, welche Aufgaben richtig bearbeitet werden“ ";"-"
"David Buschhüter";2020;"Anwendung eines t-Tests für unabhängige Stichproben auf abhängige Stichproben";"-"
